GATE_TL_OE: -2692.14><241.2879><-2207.506><482.523><1><><48><35
GATE_DS_SB: 327.8593><31.28775><667.4932><-12.47749><0><><48><35
GATE_LF_SB: -1668.143><531.2878><-1535.507><691.5223><1><><48><35
GATE_TL_VS: 1187.727><-461.3583><1169.094><-607.0789><2><><48><35
TL_B01: -1112.553><-226.2292><-670.8824><-305.3957><2><Pipework><100><41
TL_D01: -289.5522><-129.2296><-94.88243><-215.3959><2><Pipework><136><132
TL_S01: -1209.553><22.77013><-697.8824><-163.3958><2><><48><121
TL_A01: -1160.553><-334.229><-747.8835><-437.3956><0><Pipework><76><38
TL_B02: -1545.556><-299.2301><-1102.886><-366.3957><1><Pipework><103><35
TL_C02: -845.5524><-414.229><-456.8823><-536.3967><1><Pipework><136><78
TL_A02: -984.5535><-463.2297><-662.8824><-604.3961><2><Pipework><48><35
TL_S02: -86.55127><-152.2294><403.1185><-127.3959><1><><48><35
TL_E01: -276.5521><-342.229><-112.8824><-466.3957><1><><244><35
TL_A03: -182.5516><-255.229><124.1178><-347.3957><0><><49><35
TL_B03: 300.4487><-568.2289><484.1197><-724.3958><0><Filtration System><48><74
TL_E02: 181.4497><-510.2296><98.11819><-731.3958><2><Filtration System><151><80
TL_G01: 746.449><-540.2292><651.1193><-697.3958><2><Filtration System><247><72
TL_S03: 461.4489><-598.2296><638.1193><-828.3958><0><><48><35
TL_B07: -1528.418><-126.6311><-856.2914><-103.4944><1><Pipework><48><75
TL_C09: -731.4155><-229.6313><-444.2916><-275.4942><2><Pipework><151><35
TL_C10: -1505.7><-214.2874><-1050.792><-228.9939><0><Pipework><156><35
TL_A06: -1328.12><-335.1983><-868.8265><-399.0276><0><Pipework><48><35
TL_B08: -1684.125><224.955><-1108.245><323.6117><0><Maintenance><96><35
TL_A07: -1500.241><213.5138><-896.9526><319.4063><1><Maintenance><60><35
TL_S06: -1469.241><217.5138><-893.9515><449.4063><0><><48><35
TL_A08: -1357.517><232.5138><-760.0638><316.9895><1><Maintenance><60><35
TL_A09: -1229.384><236.2977><-739.3882><448.5302><0><Maintenance><48><35
TL_B09: -1004.83><233.7712><-619.0984><449.1881><1><Maintenance><108><35
TL_B10: -2096.676><224.8347><-1456.842><323.1509><0><Maintenance><100><35
TL_B11: -1282.912><229.4765><-821.3893><577.5063><2><Maintenance><99><35
TL_F03: -2253.395><269.0577><-2152.413><88.87868><0><><152><155
TL_S07: -2007.395><110.0578><-1796.413><-12.12146><0><><48><25
TL_S08: 3939.842><196.9587><2692.181><308.3579><0><><48><35
TL_B06: 1950.675><200.5954><1331.935><312.0071><0><Subway><56><73
