GATE_TL_OE: -2931.528><279.0065><-2305.948><481.3084><1><><48><35
GATE_TL_SL: 4178.078><245.525><2863.98><364.8106><0><><48><35
GATE_DS_SB: 88.46838><69.00648><563.0532><-13.69159><0><><48><35
GATE_LF_SB: -1907.533><569.0063><-1568.95><651.308><0><><48><35
GATE_SB_VS: 923.7383><-413.0338><1060.7><-604.4675><2><><48><35
TL_B01: -1351.942><-188.5106><-777.3223><-292.6103><2><><100><41
TL_D01: -528.9431><-91.51111><-201.3224><-203.6104><2><><136><132
TL_C03: -1983.943><-107.5107><-1281.325><-212.6104><1><><48><114
TL_S01: -1448.942><60.4889><-804.3223><-150.6103><2><><48><121
TL_A01: -1399.942><-296.5105><-854.3232><-424.6101><0><><76><38
TL_B02: -1784.945><-261.5113><-1209.325><-353.6103><1><><103><35
TL_C01: -329.9425><-107.5109><130.6778><-209.6104><1><><48><121
TL_C02: -1084.942><-376.5105><-563.3223><-523.611><1><><136><78
TL_A02: -1223.943><-425.5108><-769.3223><-591.6107><2><><48><35
TL_S02: -325.9425><-114.5108><296.6784><-114.6104><1><><48><35
TL_E01: -515.9431><-304.5105><-219.3224><-453.6103><1><><244><35
TL_A03: -421.943><-217.5104><17.67778><-334.6103><0><><49><35
TL_B03: 61.05746><-530.5107><377.6795><-711.6102><0><Filtration System><48><74
TL_E02: -57.94191><-472.5108><-8.3221><-718.6102><2><Filtration System><151><80
TL_G01: 507.0578><-502.5108><544.6793><-684.6102><2><Filtration System><247><72
TL_S03: 222.0578><-560.511><531.6793><-815.6102><0><><48><35
TL_A04: -2117.942><260.4894><-1333.325><341.3893><1><><48><35
TL_AC01: 2194.288><218.314><163.4933><126.7926><1><Subway><1418><73
TL_B07: -1767.807><-88.91274><-962.7316><-90.70866><1><><48><75
TL_C09: -970.8073><-191.9127><-550.7316><-262.7086><2><><151><35
TL_C10: -1745.089><-176.5689><-1157.233><-216.2083><0><><152><35
TL_A06: -1567.509><-297.4795><-975.2665><-386.2422><0><><48><35
TL_B08: -1923.514><262.6735><-1214.686><336.3973><0><Maintenance><96><35
TL_A07: -1739.63><251.2324><-1003.393><332.1917><1><Maintenance><60><35
TL_S06: -1708.63><255.2324><-1000.392><462.1917><0><><48><35
TL_A08: -1596.906><270.2324><-866.504><329.7752><1><Maintenance><60><35
TL_A09: -1468.773><274.0163><-845.8279><461.3156><0><Maintenance><48><35
TL_B09: -1244.219><271.4898><-725.5383><461.9735><1><Maintenance><108><35
TL_A10: -1080.193><267.0284><-690.3331><335.4861><0><><48><35
TL_B10: -2336.067><262.5532><-1563.285><335.9363><0><Maintenance><100><35
TL_K01: -2069.827><375.5047><-2178.289><485.8875><1><Subway><558><44
TL_B11: -1522.301><267.195><-927.8295><590.2919><2><Maintenance><99><35
TL_F03: -2492.786><306.7763><-2258.854><101.6643><0><><152><155
TL_S07: -2246.786><147.7764><-1902.855><0.6644471><0><><48><25
TL_B14: -2427.649><263.8456><-1811.274><344.9746><1><><112><35
TL_V02: 2562.474><298.3793><712.1735><533.4841><1><Subway><1129><38
TL_S08: 3700.453><234.6773><2585.742><321.1433><0><><48><35
TL_B06: 1711.286><238.314><1225.492><324.7925><0><Subway><56><73
TL_B15: 2793.282><239.4585><1949.267><367.3677><0><Subway><52><37
TL_B16: 3566.516><244.219><2447.867><373.9143><0><Subway><52><37
TL_A11: 1913.73><276.4389><1368.05><446.0342><0><Subway><53><12
TL_A12: 1915.281><205.4585><1361.267><343.3675><0><Subway><52><11
TL_A13: 1353.428><276.8475><966.9868><441.8572><0><Subway><53><12
TL_A14: 1545.428><276.8475><1099.986><435.8572><0><Subway><53><12
TL_A15: 2596.432><274.8475><1819.986><438.8572><0><Subway><53><12
TL_A16: 2975.433><277.8475><2071.983><448.8572><0><Subway><53><12
TL_A17: 3181.432><276.8475><2196.982><450.8572><0><Subway><53><12
TL_A18: 3382.432><277.8475><2318.982><451.8572><0><Subway><53><12
TL_A19: 1351.428><206.8476><975.9868><348.8572><0><Subway><52><11
TL_A20: 1537.428><204.8476><1097.986><354.8572><0><Subway><52><11
TL_A21: 2601.432><207.8476><1818.986><358.8572><0><Subway><52><11
TL_A22: 2974.432><206.8476><2075.983><371.8572><0><Subway><52><11
TL_A23: 3180.432><205.8476><2199.982><373.8572><0><Subway><52><11
TL_A24: 3377.432><205.8476><2320.982><374.8572><0><Subway><52><11
TL_H04: -2606.046><596.2188><-2428.843><656.7474><0><><412><35
TL_A25: 1181.324><217.7816><853.0316><321.8156><0><><48><35
TL_D05: -61.20902><-156.6336><428.5801><-290.3209><0><><48><150
TL_F04: -284.2092><-450.634><-273.4199><-768.3209><0><Filtration System><104><121
TL_S10: -70.20882><121.3664><296.5801><8.679257><0><><48><35
TL_S12: 4296.078><288.5249><2996.98><533.8108><1><><48><35
TL_B19: -313.8664><-697.8936><-289.3802><-907.5897><0><><100><39
TL_B20: -482.2248><-804.614><-524.4023><-1036.765><1><Aquifer><100><35
TL_C13: -102.2789><-804.1651><-372.9838><-1164.749><1><Aquifer><152><35
TL_B21: -65.95657><-778.7542><-266.6727><-1038.605><0><Aquifer><100><35
TL_G02: 11.56002><-561.5564><-40.28788><-1015.143><1><><220><115
TL_B22: 281.2445><-807.3824><-32.89716><-1158.969><1><><100><35
TL_B23: 237.9328><-774.3394><193.7154><-1149.84><0><><100><35
TL_A39: -278.5459><-807.7437><-503.2529><-1168.329><0><><48><35
TL_C04: 136.0577><-284.5105><365.6795><-459.6103><1><Filtration System><151><35
TL_D02: 1400.058><-92.51063><1382.675><-454.611><1><><200><37
TL_C05: 605.0574><-55.51078><1027.676><-455.6107><1><><162><37
TL_D03: 2300.058><-59.51078><1847.675><-454.611><1><><201><37
TL_S04: 2330.058><-127.5106><1985.675><-579.6102><1><><48><35
TL_A28: 453.6488><296.0369><387.3388><335.9627><1><><48><16
TL_A29: 773.6487><237.0373><520.3389><344.9627><0><Maintenance><48><13
TL_A30: 776.6487><249.0373><671.3392><427.9629><1><Maintenance><41><25
TL_B24: 625.4755><285.6774><479.3997><424.2392><1><Maintenance><70><32
TL_B18: 974.6487><242.0371><642.3392><326.9627><0><Maintenance><96><21
TL_A31: -70.70258><-1030.948><-82.96388><-1344.486><1><Aquifer><70><41
TL_A32: -2545.701><371.0534><-1966.967><773.5132><2><Subway><53><12
TL_A33: -2339.161><370.2895><-1845.071><773.6462><0><Subway><53><12
TL_A34: -2174.126><371.6676><-1724.957><777.6971><0><Subway><53><12
TL_A35: -1939.127><370.6676><-1570.957><771.6971><0><Subway><53><12
TL_A36: -1754.127><371.6676><-1451.957><769.6971><0><Subway><53><12
TL_A37: -1567.127><370.6676><-1326.957><773.6971><0><Subway><53><12
TL_A38: -1380.127><370.6676><-1200.957><769.6971><0><Subway><53><12
TL_D06: -276.3599><-1162.547><-313.6607><-1554.214><1><Aquifer><204><52
TL_V01: -1476.943><214.4894><-1894.321><128.3895><1><Subway><1017><81
TL_A27: -2544.692><384.445><-1927.294><339.8575><0><><48><35
OffScreenDen_TL: -1120.942><-360.5105><-674.3223><6.389459><1><><0><0
Connection: GATE_TL_OE,TL_K01,45,9,26,12,0,3
Connection: GATE_TL_SL,TL_V02,11,19,1078,3,1,2
Connection: GATE_TL_SL,TL_AC01,11,5,1362,28,3,1
Connection: GATE_DS_SB,TL_D05,11,5,42,142,3,0
Connection: GATE_LF_SB,TL_H04,2,9,408,9,2,3
Connection: GATE_SB_VS,TL_G01,1,10,237,54,2,0
Connection: TL_B01,TL_S01,13,33,19,9,1,3
Connection: TL_B01,TL_C09,92,28,3,24,0,2
Connection: TL_B01,TL_A01,26,5,29,26,3,1
Connection: TL_B01,TL_C02,69,4,19,71,3,1
Connection: TL_D01,TL_C01,124,100,28,53,3,1
Connection: TL_D01,TL_C09,8,36,147,21,2,0
Connection: TL_D01,TL_E01,110,24,59,30,3,1
Connection: TL_C03,TL_V01,24,108,339,6,1,3
Connection: TL_C03,TL_B07,37,45,4,20,3,2
Connection: TL_C03,TL_C10,21,44,4,16,3,2
Connection: TL_C03,TL_B02,18,44,9,29,3,2
Connection: TL_A01,TL_A06,8,27,43,25,2,0
Connection: TL_B02,TL_A06,98,26,6,24,0,2
Connection: TL_C01,TL_V01,25,115,891,5,1,3
Connection: TL_C01,TL_S02,39,76,39,24,3,1
Connection: TL_C01,TL_F04,19,20,21,116,3,1
Connection: TL_C02,TL_C09,71,71,83,3,1,3
Connection: TL_C02,TL_E01,112,60,12,17,0,2
Connection: TL_C02,TL_A02,19,45,21,28,3,1
Connection: TL_E01,TL_A03,170,30,41,6,1,3
Connection: TL_E01,TL_C04,234,29,3,31,0,1
Connection: TL_B03,TL_E02,15,64,105,60,1,3
Connection: TL_B03,TL_S03,31,19,17,18,1,2
Connection: TL_B03,TL_G01,38,20,23,6,1,3
Connection: TL_B03,TL_G02,44,17,151,30,0,1
Connection: TL_E02,TL_C04,132,70,92,5,3,3
Connection: TL_E02,TL_F04,8,52,95,35,2,0
Connection: TL_E02,TL_B19,3,5,84,32,2,1
Connection: TL_G01,TL_C04,23,60,108,11,1,3
Connection: TL_A04,TL_B08,41,23,8,27,1,2
Connection: TL_A04,TL_V01,3,25,266,63,2,0
Connection: TL_A04,TL_B10,7,7,93,9,2,0
Connection: TL_AC01,TL_A28,102,57,2,2,0,2
Connection: TL_AC01,TL_V02,754,42,496,3,1,2
Connection: TL_AC01,TL_S08,1218,42,26,19,1,0
Connection: TL_AC01,TL_A12,643,36,49,8,2,0
Connection: TL_AC01,TL_A21,816,36,2,8,0,2
Connection: TL_AC01,TL_B16,1191,36,49,8,2,0
Connection: TL_AC01,TL_A20,483,28,15,1,1,3
Connection: TL_AC01,TL_A22,966,28,26,1,1,3
Connection: TL_AC01,TL_A23,1024,28,12,1,1,3
Connection: TL_AC01,TL_V01,24,8,1001,12,2,0
Connection: TL_B07,TL_C10,43,33,122,26,0,2
Connection: TL_B08,TL_A07,88,9,8,10,0,2
Connection: TL_A07,TL_A08,48,29,4,23,0,2
Connection: TL_A07,TL_S06,25,19,16,18,0,2
Connection: TL_A07,TL_B11,50,10,7,7,0,2
